Printout for SDDS file out/ltu2/ltu2.chs

       s        ElementName  ElementType      betax          betay          alphax         alphay          etax          etaxp           etay          etayp           psix           psiy           psi            enx            eny         pCentral0   
       m                                        m              m                                            m                             m                            rad            rad          radians           m              m           m$be$nc    
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  0.000000e+00        _BEG_         MARK   3.108647e+01   1.405883e+01  -1.498796e+00   6.842346e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.572835e+04 
  0.000000e+00            Q       CHARGE   3.108647e+01   1.405883e+01  -1.498796e+00   6.842346e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.572835e+04 
  0.000000e+00       TWISS0        TWISS   3.108647e+01   1.405883e+01  -1.498796e+00   6.842346e-01   1.000000e-16   1.000000e-16   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   2.584439e-07   2.259907e-07   1.572835e+04 
  1.000000e-01          QLF         QUAD   3.123659e+01   1.399052e+01   1.810211e-07  -7.406799e-08   1.097509e-16   9.493886e-17   0.000000e+00   0.000000e+00   3.206520e-03   7.136107e-03   0.000000e+00   2.584547e-07   2.259983e-07   1.572835e+04 
  2.000000e-01          QLF         QUAD   3.108647e+01   1.405883e+01   1.498796e+00  -6.842347e-01   1.189725e-16   8.941992e-17   0.000000e+00   0.000000e+00   6.413041e-03   1.427221e-02   0.000000e+00   2.584652e-07   2.260057e-07   1.572835e+04 
  7.000000e-01          LM0     CSRDRIFT   2.961378e+01   1.476917e+01   1.446581e+00  -7.364502e-01   1.636825e-16   8.941992e-17   0.000000e+00   0.000000e+00   2.289303e-02   4.897821e-02   0.000000e+00   2.584652e-07   2.260057e-07   1.572835e+04 
  1.200000e+00          LM0     CSRDRIFT   2.819331e+01   1.553173e+01   1.394365e+00  -7.886657e-01   2.083924e-16   8.941992e-17   0.000000e+00   0.000000e+00   4.019804e-02   8.199698e-02   0.000000e+00   2.584652e-07   2.260057e-07   1.572835e+04 
  1.700000e+00          LM0     CSRDRIFT   2.682505e+01   1.634650e+01   1.342150e+00  -8.408812e-01   2.531024e-16   8.941992e-17   0.000000e+00   0.000000e+00   5.838042e-02   1.133818e-01   0.000000e+00   2.584652e-07   2.260057e-07   1.572835e+04 
  2.200000e+00          LM0     CSRDRIFT   2.550901e+01   1.721349e+01   1.289934e+00  -8.930967e-01   2.978124e-16   8.941992e-17   0.000000e+00   0.000000e+00   7.749564e-02   1.431935e-01   0.000000e+00   2.584652e-07   2.260057e-07   1.572835e+04 
  2.700000e+00          LM0     CSRDRIFT   2.424518e+01   1.813270e+01   1.237719e+00  -9.453122e-01   3.425223e-16   8.941992e-17   0.000000e+00   0.000000e+00   9.760229e-02   1.714984e-01   0.000000e+00   2.584652e-07   2.260057e-07   1.572835e+04 
  3.200000e+00          LM0     CSRDRIFT   2.303357e+01   1.910412e+01   1.185503e+00  -9.975276e-01   3.872323e-16   8.941992e-17   0.000000e+00   0.000000e+00   1.187620e-01   1.983660e-01   0.000000e+00   2.584652e-07   2.260057e-07   1.572835e+04 
  3.700000e+00          LM0     CSRDRIFT   2.187417e+01   2.012775e+01   1.133288e+00  -1.049743e+00   4.319422e-16   8.941992e-17   0.000000e+00   0.000000e+00   1.410391e-01   2.238669e-01   0.000000e+00   2.584652e-07   2.260057e-07   1.572835e+04 
